   1998 [CAL|AMD Radeon HD 6570/6670/7570/7670 series (Turks)|1|
   1963 [CAL|ATI Radeon HD 2300/2400/3200/4200 (RV610)|1|
   1243 [CAL|ATI Radeon HD 5400 series (Cedar)|1|
   1240 [CAL|AMD Radeon HD 7500/7600/8500/8600 series (Devastator)|1|
   1114 [CAL|Oland|1|
   1104 [CAL|ATI Radeon HD 5400/R5 210 series (Cedar)|1|
   1088 [CAL|AMD Radeon HD 6350/6450/7450/7470 series (Caicos)|1|
    944 [CAL|AMD Radeon HD 6350/6450/7450/7470/R5 230 series (Caicos)|1|
    895 [CAL|Mullins|1|
    880 [CAL|AMD Radeon HD 7400/7500/8300/8400 series (Scrapper)|1|
    843 [CAL|AMD Radeon R9 200 Series|1|
    794 [CAL|Spectre|1|
    724 [CAL|AMD Radeon HD 7850/7870 series (Pitcairn)|1|
    630 [CAL|Radeon (TM) RX 480 Graphics|1|
    607 [CAL|ATI Radeon HD 5700/6750/6770 series (Juniper)|1|
    594 [CAL|ATI Radeon HD 5500/5600 series (Redwood)|1|
    565 [CAL|AMD Radeon R7 200 Series|1|
    535 [CAL|AMD Radeon HD 6790/6850/6870 series (Barts)|1|
    527 [CAL|ATI Radeon HD 4350/4550 (R710)|1|
    499 [CAL|Kalindi|1|
    486 [CAL|AMD Radeon HD 7700/R7 250X/R9 255 series (Capeverde)|1|
    473 [CAL|ATI Radeon HD 4600 series (R730)|1|
    435 [CAL|AMD Radeon(TM) R7 Graphics|1|
    434 [CAL|AMD Radeon R9 M395X Compute Engine|1|
    422 [CAL|AMD Radeon HD 6520G/6530D/6550D/6620G (SuperSumo)|1|
    403 [CAL|AMD Radeon HD 7870/7950/7970/R9 280/R9 280X series (Tahiti)|1|
    395 [CAL|Pitcairn|1|
    379 [CAL|Ellesmere|1|
    375 [CAL|ATI Radeon HD 4700/4800 (RV740/RV770)|1|
    373 [CAL|AMD Radeon HD 7700 series (Capeverde)|1|
    368 [CAL|Bonaire|1|
    365 [CAL|AMD Radeon HD 6900 series (Cayman)|1|
    363 [CAL|ATI Radeon HD 6750M|1|
    359 [CAL|Capeverde|1|
    356 [CAL|ATI Radeon HD 5800/5900 series (Cypress/Hemlock)|1|
