  41958 [BOINC|6.10.58]
  25814 [BOINC|7.2.47]
  20965 [BOINC|7.8.3]
   8278 [BOINC|7.6.33]
   5296 [BOINC|7.0.80]
   4737 [BOINC|7.6.31]
   4703 [BOINC|7.4.53]
   3443 [BOINC|7.7.0]
   3286 [BOINC|7.6.22]
   3224 [BOINC|7.8.4]
   3123 [BOINC|7.2.42]
   2854 [BOINC|7.8.6]
   1831 [BOINC|6.10.57]
   1303 [BOINC|7.8.2]
    979 [BOINC|7.6.34]
    914 [BOINC|7.6.9]
    699 [BOINC|7.4.42]
    669 [BOINC|7.9.3]
    555 [BOINC|7.3.19]
    549 [BOINC|7.9.2]
    543 [BOINC|7.2.33]
    489 [BOINC|7.4.23]
    255 [BOINC|7.0.27]
    244 [BOINC|7.0.64]
    223 [BOINC|7.5.0]
    222 [BOINC|7.4.36]
    200 [BOINC|7.0.28]
    112 [BOINC|7.4.39]
    111 [BOINC|7.4.27]
    105 [BOINC|7.0.36]
     90 [BOINC|7.7.2]
     85 [BOINC|7.4.22]
     72 [BOINC|7.4.41]
     63 [BOINC|7.6.6]
     60 [BOINC|6.10.60]
     50 [BOINC|6.12.34]
     49 [BOINC|7.4.43]
     48 [BOINC|7.8.1]
     45 [BOINC|6.12.33]
     41 [BOINC|7.2.39]
     36 [BOINC|7.6.12]
     34 [BOINC|7.0.25]
     30 [BOINC|7.2.28]
     29 [BOINC|7.9.0]
     25 [BOINC|6.8.44]
     23 [BOINC|7.6.29]
     20 [BOINC|6.10.17]
     19 [BOINC|6.10.56]
     18 [BOINC|7.2.7]
     18 [BOINC|7.0.65]
     15 [BOINC|7.6.21]
     15 [BOINC|7.6.2]
     13 [BOINC|7.8.0]
     12 [BOINC|7.11.0]
     12 [BOINC|6.2.18]
     11 [BOINC|7.4.25]
     10 [BOINC|7.9.1]
      9 [BOINC|7.10.1]
      8 [BOINC|7.6.32]
      8 [BOINC|7.2.31]
      7 [BOINC|5.4.11]
      6 [BOINC|7.4.18]
      6 [BOINC|7.0.44]
      6 [BOINC|6.10.45]
      6 [BOINC|6.10.43]
      5 [BOINC|6.12.26]
      5 [BOINC|6.10.59]
      4 [BOINC|7.5.1]
      4 [BOINC|7.4.51]
      4 [BOINC|7.4.26]
      4 [BOINC|7.0.76]
      4 [BOINC|7.0.52]
      3 [BOINC|7.8.5]
      3 [BOINC|7.4.14]
      3 [BOINC|7.2.26]
      3 [BOINC|7.2.23]
      3 [BOINC|7.0.31]
      2 [BOINC|7.6.28]
      2 [BOINC|7.6.11]
      2 [BOINC|7.4.8]
      2 [BOINC|7.4.21]
      2 [BOINC|7.3.13]
      2 [BOINC|7.2.0]
      2 [BOINC|7.1.15]
      2 [BOINC|7.0.58]
      2 [BOINC|7.0.29]
      2 [BOINC|7.0.24]
      2 [BOINC|6.8.42]
      2 [BOINC|6.12.43]
      2 [BOINC|6.12.38]
      2 [BOINC|6.10.36]
      2 [BOINC|5.10.45]
      1 [BOINC|7.6.8]
      1 [BOINC|7.6.7]
      1 [BOINC|7.6.3]
      1 [BOINC|7.6.18]
      1 [BOINC|7.6.17]
      1 [BOINC|7.6.14]
      1 [BOINC|7.6.10]
      1 [BOINC|7.4.52]
      1 [BOINC|7.4.35]
      1 [BOINC|7.4.32]
      1 [BOINC|7.4.12]
      1 [BOINC|7.3.7]
      1 [BOINC|7.3.15]
      1 [BOINC|7.3.12]
      1 [BOINC|7.3.11]
      1 [BOINC|7.2.5]
      1 [BOINC|7.2.38]
      1 [BOINC|7.2.37]
      1 [BOINC|7.2.34]
      1 [BOINC|7.10.0]
      1 [BOINC|7.0.56]
      1 [BOINC|7.0.54]
      1 [BOINC|7.0.42]
      1 [BOINC|7.0.33]
      1 [BOINC|7.0.23]
      1 [BOINC|6.8.35]
      1 [BOINC|6.2.14]
      1 [BOINC|6.12.35]
      1 [BOINC|6.10.18]
      1 [BOINC|5.4.9]
