  40518    Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
  32600    Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
  28044    Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz
  26617    Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz
  21950    Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
  17952    Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz
  16653    Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz
   6930    Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
   5906    Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
   5726    Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz
   5414    Intel(R) Core(TM) i5-3475S CPU @ 2.90GHz
   5279    Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz
   4376    Intel(R) Core(TM) i5-3570S CPU @ 3.10GHz
   4140    Intel(R) Core(TM) i5-3450 CPU @ 3.10GHz
   4002    Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz
   3557    Pentium(R) Dual-Core  CPU      E5400  @ 2.70GHz
   3279    Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
   3230    Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz
   3170    Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz
   2964    Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz
   2919    Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
   2442    Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz
   2075    
   1979    Intel(R) Core(TM) i7-4785T CPU @ 2.20GHz
   1921    AMD Opteron(tm) Processor 6282 SE 
   1677    Intel(R) Xeon(R) CPU E5-2470 v2 @ 2.40GHz
   1669    Intel(R) Core(TM) i3-3225 CPU @ 3.30GHz
   1668    Intel(R) Xeon(R) CPU           X7350  @ 2.93GHz
   1592    Intel(R) Xeon(R) CPU           X5690  @ 3.47GHz
   1488    Intel(R) Core(TM)2 Duo CPU     E7600  @ 3.06GHz
   1451    Intel(R) Xeon(R) CPU           X7460  @ 2.66GHz
   1305    Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
   1207    ARMv7 Processor rev 0 (v7l)
   1169    ARMv7 Processor rev 1 (v7l)
    960    Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz
    935    Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
    891    Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz
    851    Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz
    763    ARMv7 Processor rev 3 (v7l)
    713    Intel(R) Core(TM)2 CPU          6600  @ 2.40GHz
    674    Intel(R) Core(TM) i5 CPU         750  @ 2.67GHz
    656    Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz
    621    Intel(R) Core(TM)2 Quad CPU    Q8400  @ 2.66GHz
    613    ARMv7 Processor rev 4 (v7l)
    598    Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz
    574    Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
    554    Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
    553    AArch64 Processor rev 2 (aarch64)
    518    Intel(R) Core(TM) i7-2600K CPU @ 3.40GHz
    515    Intel(R) Xeon(R) CPU            5160  @ 3.00GHz
    513    Pentium(R) Dual-Core  CPU      E5700  @ 3.00GHz
    500    Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz
    482    Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz
    477    Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz
    465    Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz
    441    Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz
    437    Intel(R) Core(TM) i7 CPU         920  @ 2.67GHz
    423    Intel(R) Core(TM) i5-3570K CPU @ 3.40GHz
    415    Intel(R) Core(TM)2 Duo CPU     E8600  @ 3.33GHz
    414    Intel(R) Core(TM) i3-4160 CPU @ 3.60GHz
    413    Intel(R) Core(TM) i5-2500K CPU @ 3.30GHz
    411    Intel(R) Pentium(R) 4 CPU 3.00GHz
    399    Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz
    386    Intel(R) Core(TM)2 Duo CPU     E6550  @ 2.33GHz
    380    Intel(R) Core(TM)2 Quad CPU    Q9550  @ 2.83GHz
    378    Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz
    376    Intel(R) Core(TM)2 Quad CPU    Q9650  @ 3.00GHz
    364    Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz
    362    Intel(R) Core(TM)2 CPU          6400  @ 2.13GHz
    352    AMD FX(tm)-8350 Eight-Core Processor            
    351    Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz
    344    Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz
    342    Intel(R) Xeon(R) CPU           X5460  @ 3.16GHz
    342    ARMv7 Processor rev 5 (v7l)
    328    Intel(R) Xeon(R) CPU           E7420  @ 2.13GHz
    326    Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz
    318    Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz
    316    Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
    313    Intel(R) Pentium(R) CPU G3220 @ 3.00GHz
    307    Intel(R) Core(TM) i5-5250U CPU @ 1.60GHz
    298    Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz
    289    Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
    288    Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz
    280    Intel(R) Pentium(R) CPU G2030 @ 3.00GHz
    275    Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
    272    Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz
    267    Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz
    267    Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz
    264    AMD FX(tm)-8350 Eight-Core Processor 
    262    Intel(R) Core(TM) i5-2410M CPU @ 2.30GHz
    261    Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz
    257    Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz
    256    Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz
    256    AMD Phenom(tm) II X6 1090T Processor 
    254    Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz
    253    Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz
    245    Intel(R) Core(TM) i7-3630QM CPU @ 2.40GHz
    244    Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz
    243    Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz
    242    AArch64 Processor rev 4 (aarch64)
    241    Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz
    241    AMD Phenom(tm) II X4 955 Processor 
    240    Intel(R) Core(TM)2 Duo CPU     E6750  @ 2.66GHz
    238    Intel(R) Xeon(R) CPU           E5410  @ 2.33GHz
    236    Intel(R) Pentium(R) CPU G630 @ 2.70GHz
    236    Intel(R) Core(TM) i5 CPU         650  @ 3.20GHz
    235    Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz
    233    Intel(R) Core(TM) i7-3930K CPU @ 3.20GHz
    232    Intel(R) Xeon(R) CPU           X5570  @ 2.93GHz
    229    Intel(R) Pentium(R) CPU G2020 @ 2.90GHz
    229    Intel(R) Pentium(R) 4 CPU 2.80GHz
    229    Intel(R) Core(TM) i7-5820K CPU @ 3.30GHz
    229    Intel(R) Core(TM) i5-3230M CPU @ 2.60GHz
    228    AMD Phenom(tm) II X4 965 Processor 
